STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	294543	85	1_SC3	1	2	5	4	5
DivAnc	20521	898	1_SC3	308	1772	871	1685	1493
DivAnc	19394	174	1_SC3	1	7	6	0	0
DivAnc	204062	254	1_SC3	1	5	1	3	9
DivAnc	204061	456	1_SC3	66	410	224	448	324
DivAnc	58677	428	1_SC3	1	0	0	0	0
DivAnc	125409	898	1_SC3	1	0	0	0	0
DivAnc	33474	742	1_SC3	340	1852	875	1738	1304
DivAnc	41343	757	1_SC3	147	856	400	865	691
DivAnc	182063	235	1_SC3	1156	6518	3179	7009	5292
DivAnc	9322	311	1_SC3	2	4	0	0	0
DivAnc	24082	97	1_SC3	138	710	431	832	612
DivAnc	17721	80	1_SC3	390	2189	1004	2095	1582
DivAnc	17722	767	1_SC3	2	23	10	24	28
DivAnc	139936	162	1_SC3	1	0	0	0	0
DivAnc	54952	381	1_SC3	984	5513	2690	5212	3913
DivAnc	116124	372	1_SC3	27	207	113	178	167
DivAnc	142027	1007	1_SC3	41	260	94	175	129
DivAnc	54955	159	1_SC3	159	975	431	682	566
DivAnc	8949	718	1_SC3	343	1882	857	1734	1239
DivAnc	3510	628	1_SC3	746	4273	2158	4331	3302
DivAnc	53288	243	1_SC3	1	3	1	16	3
DivAnc	2689	605	1_SC3	150	902	401	772	646
DivAnc	84058	9	1_SC3	501	2695	1248	2698	2253
DivAnc	6203	389	1_SC3	1	13	11	23	4
DivAnc	36027	717	1_SC3	102	553	310	653	498
DivAnc	102158	353	1_SC3	53	313	118	286	222
DivAnc	122542	618	1_SC3	1	0	0	0	0
DivAnc	26976	958	1_SC3	125	680	348	577	345
DivAnc	203384	767	1_SC3	32	102	63	194	111
DivAnc	9744	704	1_SC3	3	8	1	12	5
DivAnc	294034	564	1_SC3	46	250	138	271	186
DivAnc	71572	423	1_SC3	352	2190	1130	2292	1880
DivAnc	20415	47	1_SC3	391	2088	1011	2015	1630
DivAnc	95	710	1_SC3	414	2237	1038	2140	1599
DivAnc	219159	926	1_SC3	6	58	24	38	27
DivAnc	1627	192	1_SC3	136	807	413	976	651
DivAnc	30414	302	1_SC3	3	6	6	25	31
DivAnc	1998	652	1_SC3	1	20	19	0	0
DivAnc	1629	1012	1_SC3	3	0	0	0	0
DivAnc	14681	800	1_SC3	1	7	2	24	5
DivAnc	193917	48	1_SC3	2	4	3	0	0
DivAnc	33679	115	1_SC3	50	344	169	316	184
DivAnc	112558	815	1_SC3	2	3	0	0	0
DivAnc	112227	209	1_SC3	5	26	8	21	14
DivAnc	8832	449	1_SC3	1	0	0	0	0
DivAnc	33853	48	1_SC3	73	458	218	462	342
DivAnc	275344	785	1_SC3	3	15	3	20	23
DivAnc	59927	113	1_SC3	369	2275	1023	1954	1538
DivAnc	132348	903	1_SC3	220	1339	633	1284	1096
DivAnc	33697	657	1_SC3	1	14	0	0	0
DivAnc	80806	829	1_SC3	1	3	0	0	0
DivAnc	5409	813	1_SC3	16	77	40	47	31
DivAnc	59108	412	1_SC3	400	2234	1112	2031	1477
DivAnc	24235	1012	1_SC3	3	7	2	0	0
DivAnc	29561	423	1_SC3	776	4643	2156	4707	3403
DivAnc	37178	692	1_SC3	743	4250	2034	3973	3072
DivAnc	147277	439	1_SC3	586	3370	1730	3542	2942
DivAnc	115335	829	1_SC3	1	6	4	7	0
